MonthYear,CensusTract_2010,TotalReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_SCT,CensusBlockID_list,Zipcode_list,Ticket_list,Classification_list,Month,Year
May-2020,59.02,1,5902,Census Tract 59.02,Westchester County,36119005902,[2005],[10801],['WL20004643'],['P'],5,2020
May-2020,59.01,1,5901,Census Tract 59.01,Westchester County,36119005901,[2007],[10805],['WL20004686'],['P'],5,2020
May-2020,55.0,3,5500,Census Tract 55,Westchester County,36119005500,"[3045, 1009, 4012]","[10803, 10803, 10803]","['WL20005090', 'WL20004964', 'WL20004848']","['M', 'M', 'M']",5,2020
May-2020,53.0,1,5300,Census Tract 53,Westchester County,36119005300,[3000],[10803],['WL20004901'],['M'],5,2020
May-2020,51.0,1,5100,Census Tract 51,Westchester County,36119005100,[4000],[10709],['WL20004693'],['P'],5,2020
May-2020,50.02,1,5002,Census Tract 50.02,Westchester County,36119005002,[3013],[10709],['WL20004673'],['M'],5,2020
May-2020,50.01,5,5001,Census Tract 50.01,Westchester County,36119005001,"[1033, 1019, 1026, 1019, 1019]","[10583, 10583, 10583, 10583, 10583]","['WL20005148', 'WL20005070', 'WL20004792', 'WL20004704', 'WL20004652']","['M', 'M', 'M', 'M', 'M']",5,2020
May-2020,48.0,2,4800,Census Tract 48,Westchester County,36119004800,"[2022, 6001]","[10707, 10707]","['WL20004640', 'WL20004577']","['P', 'M']",5,2020
May-2020,47.0,1,4700,Census Tract 47,Westchester County,36119004700,[1034],[10708],['WL20005053'],['P'],5,2020
May-2020,46.0,1,4600,Census Tract 46,Westchester County,36119004600,[1007],[10708],['WL20004981'],['M'],5,2020
May-2020,36.0,1,3600,Census Tract 36,Westchester County,36119003600,[1000],[10552],['WL20004791'],['P'],5,2020
May-2020,35.0,1,3500,Census Tract 35,Westchester County,36119003500,[2005],[10550],['WL20005003'],['M'],5,2020
May-2020,26.0,1,2600,Census Tract 26,Westchester County,36119002600,[2037],[10550],['WL20005029'],['P'],5,2020
May-2020,24.03,2,2403,Census Tract 24.03,Westchester County,36119002403,"[2002, 4023]","[10704, 10704]","['WL20004683', 'WL20004688']","['M', 'P']",5,2020
May-2020,23.0,3,2300,Census Tract 23,Westchester County,36119002300,"[1000, 1002, 1021]","[10701, 10701, 10701]","['WL20005207', 'WL20004843', 'WL20004855']","['M', 'P', 'P']",5,2020
May-2020,22.04,5,2204,Census Tract 22.04,Westchester County,36119002204,"[1004, 2002, 2005, 2003, 3008]","[10708, 10708, 10708, 10708, 10708]","['WL20004949', 'WL20004959', 'WL20004927', 'WL20004767', 'WL20004741']","['P', 'P', 'P', 'M', 'P']",5,2020
May-2020,22.02,1,2202,Census Tract 22.02,Westchester County,36119002202,[3006],[10708],['WL20004653'],['M'],5,2020
May-2020,21.05,1,2105,Census Tract 21.05,Westchester County,36119002105,[2021],[10710],['WL20005022'],['M'],5,2020
