,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,geoid,unemployed%,median_houshold_income,mean_houshold_income,total_housing_units,occupied_housing_units%,vacant_housing_units%,total_population,median_age,not_us_citizen%
4287,2.77,39.06581740976646,31.104033970276014,17.72823779193206,1.220806794055202,36123150200,5.7,44392,64238,2313,81.5,18.5,5514,39.1,0.45339136742836417
4288,2.65,30.252968508002066,22.76716572018585,12.28704181724316,1.910170366546205,36123150300,3.3,54896,71547,3160,61.3,38.7,5187,42.4,0.5590900327742433
4289,2.44,30.716134598792056,21.052631578947366,11.734253666954269,1.639344262295082,36123150400,3.3,72996,80953,2323,49.9,50.1,3621,38.1,3.396851698425849
4290,2.59,36.09982588508416,29.947765525246663,16.715031921067904,0.6964596633778294,36123150500,4.7,49159,74867,2593,66.4,33.6,4460,44.3,0.40358744394618834
4291,2.43,33.36820083682008,22.698744769874484,4.184100418410042,0.0,36001013507,5.9,83472,84813,962,99.4,0.6,2322,38.0,1.3781223083548666
4292,2.57,25.374310480693456,19.46414499605989,5.516154452324664,0.7486209613869189,36001013508,4.4,95227,120596,2662,95.3,4.7,6524,44.2,5.656039239730227
4293,2.27,40.38867765103507,32.446134347275034,9.125475285171104,0.0,36001014614,0.4,72171,119317,2443,96.9,3.1,5371,39.5,9.16030534351145
4294,2.23,49.269480519480524,36.36363636363637,18.181818181818183,0.0,36001014615,2.1,76848,102887,1348,91.4,8.6,2984,37.6,21.58176943699732
4295,2.46,32.704402515723274,27.812718378756113,12.718378756114605,2.86512928022362,36003951300,3.9,48783,63312,2634,54.3,45.7,3527,45.5,0.4536433229373405
4296,2.43,47.25511302475781,37.13670613562971,1.2917115177610334,3.552206673842842,36005001900,13.2,42075,54415,1002,92.7,7.3,2765,30.8,8.17359855334539
4297,2.63,35.562865497076025,33.55263157894737,15.935672514619885,4.349415204678364,36005004200,8.2,33016,41783,2804,97.6,2.4,7207,33.9,7.104204245872069
4298,2.96,33.73801916932908,28.69009584664537,9.201277955271566,0.8945686900958467,36005005001,15.2,24619,43357,1651,94.8,5.2,4979,32.2,29.66459128339024
4299,2.89,34.42009620523784,27.739176910742923,9.406734366648852,5.184393372528059,36005005002,12.3,26534,34574,1982,94.4,5.6,5519,29.1,38.14096756658815
