BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
B0882,ERS,STUYVESANT AVE & PUTNAM AVE,11221,Brooklyn,BK03,36,40.68603234,-73.93266905,POINT (-73.93266905 40.68603234),18181,69,2,49,52
M1392,ERS,RIVERSIDE DR & W 116 ST,10024,Manhattan,MN09,7,40.80884158,-73.96581413,POINT (-73.96581413 40.80884158),12424,37,4,23,17
B1543,ERS,OCEAN AVE & CHURCH AVE,11226,Brooklyn,BK14,40,40.6500826,-73.96100797,POINT (-73.96100797 40.6500826),13510,60,2,11,43
B2214,ERS,AVENUE A & E 89 ST,11236,Brooklyn,BK17,45,40.65065993,-73.91890734,POINT (-73.91890734 40.65065993),13827,61,2,26,40
B0274,BARS,MESEROLE ST & WATERBURY ST,11206,Brooklyn,BK01,34,40.7086776,-73.93698021,POINT (-73.93698021 40.7086776),17213,36,2,30,56
R2477,BARS,BEACON AVE & RICHMOND RD/RVFD,10306,Staten Island,SI02,50,40.57590128,-74.12357065,POINT (-74.12357065 40.57590128),10693,30,1,14,76
B0347,ERS,GRAHAM AVE & COOK ST,11206,Brooklyn,BK01,34,40.70234555,-73.94238141,POINT (-73.94238141 40.70234555),17213,36,2,30,56
Q5623,BARS,115 AVE & 196 ST,11412,Queens,QN12,27,40.69705266,-73.75732997,POINT (-73.75732997 40.69705266),15312,41,3,6,71
Q9503,ERS,WOODHAVEN BLVD OPP 62 RD,11374,Queens,QN06,29,40.72618733,-73.87021136,POINT (-73.87021136 40.72618733),14785,40,3,28,70
B2758,ERS,10 AVE & 79 ST,11228,Brooklyn,BK10,43,40.62201418,-74.01640622,POINT (-74.01640622 40.62201418),13511,10,2,44,41
B3632,ERS,ORIENTAL BLVD & OCEAN AVE,11235,Brooklyn,BK15,48,40.57749959,-73.94726192,POINT (-73.94726192 40.57749959),13826,32,2,15,36
Q9732,BARS,73 AVE & 183 ST,11365,Queens,QN08,24,40.7316652,-73.78735294,POINT (-73.78735294 40.7316652),14507,25,3,24,65
Q4814,BARS,HARDING XWAY N & 171 ST,11365,Queens,QN07,20,40.73853382,-73.79810703,POINT (-73.79810703 40.73853382),14507,22,3,3,67
Q9698,ERS,91 AVE & 135 ST,11418,Queens,QN09,29,40.69921499,-73.81608677,POINT (-73.81608677 40.69921499),24014,46,3,28,60
R3170,BARS,SIMMONS LA  315'S OF VICTORY BLVD,10314,Staten Island,SI02,50,40.59453435,-74.18562267,POINT (-74.18562267 40.59453435),10700,30,1,14,75
X2582,ERS,NELSON AVE & W 168 ST,10452,Bronx,BX04,16,40.83836092,-73.92491804,POINT (-73.92491804 40.83836092),10930,50,5,42,27
Q5237,ERS,VAN WYCK XWAY W SVC RD & 130 AVE,11420,Queens,QN10,28,40.67130662,-73.80180337,POINT (-73.80180337 40.67130662),24016,62,3,46,64
R3473,ERS,FIELDWAY AVE & AMBOY RD,10308,Staten Island,SI03,51,40.55242985,-74.14369573,POINT (-74.14369573 40.55242985),10695,15,1,9,76
B1275,ERS,6 AVE & 13 ST,11215,Brooklyn,BK06,39,40.66563066,-73.98594773,POINT (-73.98594773 40.66563066),17617,14,2,27,50
M1209,ERS,5 AVE & E 92 ST,83,Manhattan,MN08,4,40.78534346,-73.95763599,POINT (-73.95763599 40.78534346),10099,23,4,51,11
Q6355,BARS,WEST DR & ARLEIGH RD,11363,Queens,QN11,19,40.77474082,-73.75240319,POINT (-73.75240319 40.77474082),14505,26,3,20,69
Q5855,ERS,SPRINGFIELD BLVD & EDGEWOOD AVE,11413,Queens,QN13,31,40.66966638,-73.75643734,POINT (-73.75643734 40.66966638),15313,63,3,47,63
Q9592,ERS,UNION TPK & KESSEL ST,11375,Queens,QN06,29,40.71027267,-73.84102608,POINT (-73.84102608 40.71027267),14786,40,3,28,70
M1640,ERS,RIVERSIDE DR & W 148 ST,10031,Manhattan,MN09,7,40.82892474,-73.95039474,POINT (-73.95039474 40.82892474),12428,37,4,23,19
B3919,ERS,RUGBY RD OPP WALDORF CT,11230,Brooklyn,BK14,45,40.63145423,-73.96352806,POINT (-73.96352806 40.63145423),13513,60,2,26,43
M1242,ERS,RIVERSIDE DR & W 97 ST,10025,Manhattan,MN07,6,40.79645143,-73.97410726,POINT (-73.97410726 40.79645143),12422,20,4,19,15
B1780,ERS,FULTON ST & WARWICK ST,11207,Brooklyn,BK05,37,40.67909754,-73.88730461,POINT (-73.88730461 40.67909754),17214,45,2,37,47
Q4766,ERS,BEAVER RD & 150 ST,11433,Queens,QN12,28,40.69910548,-73.80276783,POINT (-73.80276783 40.69910548),24668,41,3,6,61
Q4245,BARS,GRAND AVE & 58 PL,11378,Queens,QN05,30,40.71985696,-73.91048376,POINT (-73.91048376 40.71985696),14788,54,3,34,62
R0632,ERS,THOMPSON PL & JAMES PL,10305,Staten Island,SI01,49,40.60972107,-74.0711107,POINT (-74.0711107 40.60972107),10692,4,1,13,74
Q8728,ERS,144 AVE & LATHAM LA,11434,Queens,QN12,31,40.6687553,-73.77351332,POINT (-73.77351332 40.6687553),24669,41,3,47,71
M1123,ERS,RIVERSIDE DR & W 81 ST,10024,Manhattan,MN07,6,40.78618399,-73.98144778,POINT (-73.98144778 40.78618399),12421,20,4,19,12
R2824,ERS,ARTHUR KILL RD & GREAVES AVE/RVFD,10308,Staten Island,SI03,51,40.56569747,-74.15416757,POINT (-74.15416757 40.56569747),10695,15,1,9,76
B3677,ERS,DEVON AVE & EBONY CT,11229,Brooklyn,BK15,46,40.59284206,-73.92848301,POINT (-73.92848301 40.59284206),13512,32,2,8,36
Q5421,BARS,92 AVE & 218 ST,11428,Queens,QN13,23,40.72324958,-73.74132601,POINT (-73.74132601 40.72324958),24337,63,3,16,63
M1943,ERS,EAST PROM-R/O 580 MAIN ST-ROOSEVELT IS.,10044,Manhattan,MN08,5,40.76300738,-73.94906843,POINT (-73.94906843 40.76300738),13099,23,4,1,72
R0142,BARS,CLINTON AVE & CASSIDY PL,10301,Staten Island,SI01,49,40.64179245,-74.09808765,POINT (-74.09808765 40.64179245),10369,4,1,13,74
M1165,ERS,COLUMBUS AVE & W 86 ST,10024,Manhattan,MN07,6,40.78648646,-73.97217415,POINT (-73.97217415 40.78648646),12421,20,4,19,15
B3351,ERS,AVENUE Y & E 12 ST,11235,Brooklyn,BK15,48,40.58966542,-73.95859609,POINT (-73.95859609 40.58966542),13826,32,2,15,36
X3920,ERS,COLLEGE RD & W 252 ST,10471,Bronx,BX08,11,40.89702286,-73.89935754,POINT (-73.89935754 40.89702286),11609,48,5,40,33
M0322,ERS,GREENE ST & SPRING ST,10012,Manhattan,MN02,1,40.72379524,-74.00036757,POINT (-74.00036757 40.72379524),12075,57,4,32,1
B3110,ERS,AVENUE I & E 38 ST,11210,Brooklyn,BK18,45,40.62979489,-73.93960544,POINT (-73.93960544 40.62979489),17217,5,2,26,38
Q7318,BARS,SKILLMAN AVE & 44 ST,11104,Queens,QN02,26,40.74678391,-73.91986918,POINT (-73.91986918 40.74678391),16861,53,3,33,66
Q3149,ERS,75 RD & AUSTIN ST,11375,Queens,QN06,29,40.71673149,-73.8379587,POINT (-73.8379587 40.71673149),14786,40,3,28,70
R1795,BARS,WELLBROOK AVE & HAROLD ST,10314,Staten Island,SI02,49,40.60142969,-74.13024813,POINT (-74.13024813 40.60142969),10700,30,1,13,75
Q5638,BARS,111 AVE & 200 ST,11412,Queens,QN12,27,40.70406426,-73.75651887,POINT (-73.75651887 40.70406426),15312,41,3,6,71
Q6736,BARS,HILLSIDE AVE & 257 ST,11004,Queens,QN13,23,40.73675101,-73.71102686,POINT (-73.71102686 40.73675101),15785,63,3,16,63
Q5463,BARS,FAIRBURY AVE & 224 ST,11428,Queens,QN13,23,40.7242888,-73.73202205,POINT (-73.73202205 40.7242888),24337,63,3,16,63
X2180,ERS,BEEKMAN AVE & OAK TER,10454,Bronx,BX01,8,40.80872277,-73.91388448,POINT (-73.91388448 40.80872277),10932,49,5,35,23
X2850,ERS,SOUND VIEW AVE & WATSON AVE,10472,Bronx,BX09,18,40.82691495,-73.87202921,POINT (-73.87202921 40.82691495),11610,58,5,31,26
Q2063,ERS,163 AVE & 98 ST,11414,Queens,QN10,32,40.65315196,-73.83354451,POINT (-73.83354451 40.65315196),15314,62,3,41,64
Q4190,ERS,METROPOLITAN AVE & 60 PL,11378,Queens,QN05,30,40.71281703,-73.90376944,POINT (-73.90376944 40.71281703),15310,54,3,34,62
X2923,ERS,TOWNSEND AVE & E 174 ST,10453,Bronx,BX04,14,40.84506052,-73.91308485,POINT (-73.91308485 40.84506052),10930,50,5,29,27
Q7153,BARS,43 RD & 10 ST,11101,Queens,QN02,26,40.75145616,-73.94946721,POINT (-73.94946721 40.75145616),16858,53,3,33,66
B3139,ERS,AVENUE J & E 52 ST,11234,Brooklyn,BK18,46,40.62828766,-73.92592688,POINT (-73.92592688 40.62828766),13825,5,2,8,38
X2126,ERS,3 AVE & E 135 ST,10454,Bronx,BX01,8,40.80956472,-73.92921854,POINT (-73.92921854 40.80956472),10932,49,5,35,23
R0161,ERS,SHARON AVE & REVERE ST,10301,Staten Island,SI01,49,40.62825767,-74.10209154,POINT (-74.10209154 40.62825767),10369,4,1,13,74
B4062,ERS,FREEPORT LOOP & PENNSYLVANIA AVE/PAYNE,11239,Brooklyn,BK05,42,40.64647329,-73.88024986,POINT (-73.88024986 40.64647329),13830,45,2,25,47
Q4415,BARS,OAK AVE & 162 ST,11358,Queens,QN07,20,40.74997273,-73.80539954,POINT (-73.80539954 40.74997273),14507,22,3,3,67
R2051,BARS,LINCOLN AVE & POULTNEY ST,10306,Staten Island,SI02,50,40.57479923,-74.10003652,POINT (-74.10003652 40.57479923),10693,30,1,14,76
B2511,ERS,11 AVE & 50 ST,11219,Brooklyn,BK12,44,40.63712626,-73.99710233,POINT (-73.99710233 40.63712626),17621,2,2,18,39
M0862,ERS,LEXINGTON AVE & E 51 ST,10022,Manhattan,MN05,4,40.75712467,-73.97190676,POINT (-73.97190676 40.75712467),12419,71,4,51,9
Q5197,ERS,107 AVE & 111 ST,11419,Queens,QN10,28,40.68246139,-73.83001639,POINT (-73.83001639 40.68246139),24015,62,3,46,64
X3070,ERS,E TREMONT AVE & BX PARK AVE,10460,Bronx,BX06,15,40.83990252,-73.87561285,POINT (-73.87561285 40.83990252),11269,35,5,22,31
B1696,ERS,LIVONIA AVE & SARATOGA AVE,11212,Brooklyn,BK16,42,40.66157348,-73.91547732,POINT (-73.91547732 40.66157348),17614,55,2,25,46
Q1909,BARS,SOUTH RD & 155 ST,11433,Queens,QN12,28,40.69687148,-73.79918227,POINT (-73.79918227 40.69687148),24668,41,3,46,61
Q8549,ERS,PARK LANE S & 88 ST,11385,Queens,,32,40.69691298,-73.85744448,POINT (-73.85744448 40.69691298),24017,46,3,41,60
X3491,ERS,BURKE AVE & BRONXWOOD AVE,10469,Bronx,BX12,12,40.87133651,-73.86137924,POINT (-73.86137924 40.87133651),11607,29,5,2,30
R2063,BARS,MIDLAND AVE & PATTERSON AVE,10306,Staten Island,SI02,50,40.57126478,-74.09117449,POINT (-74.09117449 40.57126478),10693,30,1,14,76
X3340,ERS,MORRIS AVE & E FORDHAM RD,10468,Bronx,BX05,14,40.86206694,-73.89961735,POINT (-73.89961735 40.86206694),11606,6,5,29,29
B3881,ERS,BENSON AVE & 26 AVE,11214,Brooklyn,BK13,47,40.59489407,-73.98676315,POINT (-73.98676315 40.59489407),17616,1,2,45,37
B2078,ERS,SUTTER AVE & EUCLID AVE,11208,Brooklyn,BK05,42,40.67285838,-73.87130258,POINT (-73.87130258 40.67285838),17215,45,2,25,47
B3707,ERS,CORTELYOU RD & E 9 ST,11218,Brooklyn,BK12,40,40.63889518,-73.96981388,POINT (-73.96981388 40.63889518),17620,2,2,11,39
M0512,ERS,WASHINGTON ST & CHARLES ST,10014,Manhattan,MN02,3,40.73409437,-74.00849166,POINT (-74.00849166 40.73409437),12077,57,4,10,3
Q9742,BARS,73 AVE & 188 ST,11365,Queens,QN08,23,40.73313072,-73.78302493,POINT (-73.78302493 40.73313072),14507,25,3,16,65
