,incident_year,incident_month,geoid,gas_leaks,gas_leaks_per_person,total_population
312,2013,1,36047079000,5,0.0009527439024390244,5248.0
313,2013,1,36047079200,1,0.0002581311306143521,3874.0
314,2013,1,36047079400,2,0.0009896091044037606,2021.0
315,2013,1,36047079802,1,0.00018789928598271326,5322.0
316,2013,1,36047080200,1,0.00020863759649488838,4793.0
317,2013,1,36047080600,2,0.0005267316302343956,3797.0
318,2013,1,36047081000,1,0.0004578754578754579,2184.0
319,2013,1,36047081800,1,0.00020977554017201594,4767.0
320,2013,1,36047082000,1,0.00019984012789768185,5004.0
321,2013,1,36047082400,2,0.00047472110135295516,4213.0
322,2013,1,36047085000,1,0.0006257822277847309,1598.0
323,2013,1,36047085400,1,0.0005274261603375527,1896.0
324,2013,1,36047085800,2,0.0007698229407236335,2598.0
325,2013,1,36047086000,2,0.000552944429084877,3617.0
326,2013,1,36047086200,1,0.00035842293906810036,2790.0
327,2013,1,36047087000,2,0.0006293266205160479,3178.0
328,2013,1,36047087401,2,0.0005434782608695652,3680.0
329,2013,1,36047088000,2,0.0006763611768684477,2957.0
330,2013,1,36047088200,3,0.00045682960255824577,6567.0
331,2013,1,36047089000,2,0.0002983738624496494,6703.0
332,2013,1,36047089200,2,0.0005339028296849973,3746.0
333,2013,1,36047089800,1,0.0004901960784313725,2040.0
334,2013,1,36047090000,3,0.0005363847666726265,5593.0
335,2013,1,36047090600,3,0.0006869704602702084,4367.0
336,2013,1,36047090800,1,0.0002690341673392521,3717.0
337,2013,1,36047091000,5,0.0008501955449753444,5881.0
338,2013,1,36047091200,6,0.0009697753353806369,6187.0
339,2013,1,36047091800,2,0.0006607201850016518,3027.0
340,2013,1,36047093800,1,0.00044863167339614175,2229.0
341,2013,1,36047094401,2,0.0005312084993359894,3765.0
342,2013,1,36047094600,1,0.0004791566842357451,2087.0
344,2013,1,36047098200,3,0.0007429420505200594,4038.0
345,2013,1,36047099800,1,0.00024073182474723158,4154.0
346,2013,1,36047101200,2,0.0009045680687471732,2211.0
347,2013,1,36047101400,1,0.00044742729306487697,2235.0
348,2013,1,36047102200,1,0.000514668039114771,1943.0
349,2013,1,36047102800,5,0.0035112359550561797,1424.0
350,2013,1,36047103400,1,0.0002723311546840959,3672.0
351,2013,1,36047110400,3,0.0006071645415907711,4941.0
352,2013,1,36047110600,3,0.0006523157208088715,4599.0
353,2013,1,36047111000,2,0.000594883997620464,3362.0
354,2013,1,36047111600,2,0.0006420545746388443,3115.0
355,2013,1,36047113000,1,0.0002244165170556553,4456.0
356,2013,1,36047113200,2,0.000931098696461825,2148.0
357,2013,1,36047113400,1,0.0003351206434316354,2984.0
358,2013,1,36047115600,3,0.0007075471698113207,4240.0
359,2013,1,36047117602,1,0.00033189512114171923,3013.0
360,2013,1,36047119000,1,0.00043010752688172043,2325.0
361,2013,1,36047119400,1,0.0002595380223202699,3853.0
362,2013,1,36047120200,1,0.000474158368895211,2109.0
363,2013,1,36047121000,3,0.0007102272727272727,4224.0
364,2013,1,36047121400,1,0.00023798191337458352,4202.0
365,2013,1,36047122000,2,0.0003698224852071006,5408.0
366,2013,1,36047123700,1,0.0001479946721918011,6757.0
369,2013,1,36061000201,2,0.000708215297450425,2824.0
370,2013,1,36061000202,4,0.0004992511233150275,8012.0
371,2013,1,36061000600,1,8.652015919709292e-05,11558.0
372,2013,1,36061000700,1,0.0001295001295001295,7722.0
373,2013,1,36061000800,2,0.0001929570670525808,10365.0
374,2013,1,36061000900,1,0.0008771929824561404,1140.0
375,2013,1,36061001002,1,0.00015530361857431278,6439.0
376,2013,1,36061001402,1,0.0003270111183780249,3058.0
377,2013,1,36061001800,1,0.00012402331638348009,8063.0
379,2013,1,36061002100,1,0.00016363933889707084,6111.0
380,2013,1,36061002201,3,0.00044365572315882877,6762.0
382,2013,1,36061002400,3,0.0005194805194805195,5775.0
383,2013,1,36061002601,2,0.0005299417064122947,3774.0
384,2013,1,36061002800,2,0.0002738975623116954,7302.0
385,2013,1,36061003001,1,0.00023250406882120437,4301.0
386,2013,1,36061003002,2,0.0006598482349059716,3031.0
387,2013,1,36061003200,2,0.0002621231979030144,7630.0
388,2013,1,36061003300,1,0.00019327406262079628,5174.0
389,2013,1,36061003400,1,0.00014912019087384433,6706.0
390,2013,1,36061003601,1,0.0003031221582297666,3299.0
391,2013,1,36061003800,5,0.0005807200929152149,8610.0
392,2013,1,36061003900,2,0.0003807348181991243,5253.0
393,2013,1,36061004000,1,0.00010203040506070809,9801.0
394,2013,1,36061004100,2,0.0002566405748748877,7793.0
395,2013,1,36061004500,2,0.002380952380952381,840.0
396,2013,1,36061004700,1,0.0004411116012351125,2267.0
397,2013,1,36061004800,1,0.00013245033112582781,7550.0
398,2013,1,36061004900,1,0.00020197939810139365,4951.0
399,2013,1,36061005000,2,0.00039517881841533294,5061.0
401,2013,1,36061005200,1,0.00023849272597185786,4193.0
402,2013,1,36061005400,1,0.0002147766323024055,4656.0
403,2013,1,36061005700,1,0.00034048348655090226,2937.0
404,2013,1,36061005900,1,0.00018129079042784627,5516.0
406,2013,1,36061006500,1,0.00015344483658124905,6517.0
407,2013,1,36061006600,1,8.488964346349746e-05,11780.0
408,2013,1,36061006700,2,0.0004012841091492777,4984.0
409,2013,1,36061007100,3,0.0005325758920646192,5633.0
410,2013,1,36061007200,1,0.00012929919834497026,7734.0
411,2013,1,36061007300,3,0.0005342831700801424,5615.0
412,2013,1,36061007500,1,0.00022727272727272727,4400.0
413,2013,1,36061008000,1,0.0002021835826930853,4946.0
414,2013,1,36061008300,1,0.00023747328425552126,4211.0
415,2013,1,36061009100,4,0.0006235385814497272,6415.0
416,2013,1,36061009200,1,0.0005701254275940707,1754.0
417,2013,1,36061009300,2,0.00020607934054611026,9705.0
418,2013,1,36061009800,2,0.00028149190710767064,7105.0
419,2013,1,36061011100,1,0.00025258903763576663,3959.0
420,2013,1,36061011202,1,0.0035842293906810036,279.0
421,2013,1,36061011300,1,0.004901960784313725,204.0
422,2013,1,36061011402,1,0.00038446751249519417,2601.0
423,2013,1,36061011500,1,0.0004020908725371934,2487.0
424,2013,1,36061011800,1,0.00010358400662937643,9654.0
425,2013,1,36061012000,1,0.000273972602739726,3650.0
426,2013,1,36061012100,5,0.0005976571838393497,8366.0
427,2013,1,36061012400,1,9.986019572598362e-05,10014.0
428,2013,1,36061012700,2,0.00031070374398011494,6437.0
429,2013,1,36061012900,1,0.00018825301204819278,5312.0
430,2013,1,36061013100,1,0.0004017677782241864,2489.0
431,2013,1,36061013300,2,0.00037292560134253216,5363.0
432,2013,1,36061013400,1,9.547450830628223e-05,10474.0
433,2013,1,36061013500,6,0.0009876543209876543,6075.0
434,2013,1,36061013600,1,6.696578048617156e-05,14933.0
435,2013,1,36061013800,2,0.00015794045644791914,12663.0
436,2013,1,36061013900,1,0.00013145786775338504,7607.0
438,2013,1,36061014401,1,0.00020538098172109262,4869.0
439,2013,1,36061014602,2,0.00025303643724696357,7904.0
440,2013,1,36061014700,1,0.0003866976024748647,2586.0
441,2013,1,36061015100,1,0.00012338062924120913,8105.0
442,2013,1,36061015801,1,0.00018372221201543268,5443.0
443,2013,1,36061015802,1,0.00024073182474723158,4154.0
444,2013,1,36061016100,1,0.00015463120457708364,6467.0
445,2013,1,36061016300,1,0.00013531799729364006,7390.0
446,2013,1,36061016400,4,0.0006079027355623101,6580.0
447,2013,1,36061016600,4,0.0005181347150259067,7720.0
448,2013,1,36061016800,1,0.000201450443190975,4964.0
449,2013,1,36061017300,1,0.00010889687465969727,9183.0
450,2013,1,36061017401,1,0.0002147766323024055,4656.0
451,2013,1,36061017402,1,0.0003756574004507889,2662.0
452,2013,1,36061017800,1,0.00025106703489831785,3983.0
453,2013,1,36061017900,1,0.000106928999144568,9352.0
454,2013,1,36061018000,5,0.0006623393826996954,7549.0
455,2013,1,36061018100,1,0.00011527377521613833,8675.0
457,2013,1,36061018200,2,0.000331619963521804,6031.0
458,2013,1,36061018300,1,0.0001080613788631943,9254.0
459,2013,1,36061018400,2,0.0002481697481077057,8059.0
460,2013,1,36061018500,1,0.00020181634712411706,4955.0
461,2013,1,36061018600,3,0.00043757292882147026,6856.0
462,2013,1,36061018700,1,0.00011456065986940085,8729.0
463,2013,1,36061018800,1,0.00018060321473722233,5537.0
464,2013,1,36061018900,7,0.0005649261560810266,12391.0
465,2013,1,36061019200,1,0.00024679170779861795,4052.0
466,2013,1,36061019300,1,0.0001016880211511084,9834.0
467,2013,1,36061019400,4,0.0006557377049180328,6100.0
468,2013,1,36061019600,2,0.00045651677699155445,4381.0
470,2013,1,36061019900,4,0.0003970223325062035,10075.0
471,2013,1,36061020000,2,0.0006818956699624957,2933.0
472,2013,1,36061020600,2,0.0007607455306200076,2629.0
473,2013,1,36061020800,1,0.00019406171162429653,5153.0
474,2013,1,36061020901,2,0.0004935834155972359,4052.0
475,2013,1,36061021000,7,0.0009362043600374481,7477.0
476,2013,1,36061021100,3,0.0003039821663795724,9869.0
477,2013,1,36061021200,1,0.0002484472049689441,4025.0
478,2013,1,36061021400,2,0.0007064641469445425,2831.0
479,2013,1,36061021500,2,0.000617093489663684,3241.0
482,2013,1,36061021600,2,0.00023889154323936931,8372.0
484,2013,1,36061021900,4,0.000669008195350393,5979.0
485,2013,1,36061022102,1,0.000441306266548985,2266.0
487,2013,1,36061022301,3,0.0003623626041792487,8279.0
