,geoid,White,Black | Afr American,American Indian|Alaska Native,Asian,Native Hawaiian,Other race,Hispanic|Latino (any race),Asian:Asian Indian,Asian:Chinese,Asian:Filipino,Asian:Japanese,Asian:Korean,Asian:Vietnamese,Asian:Other Asian,Hispanic|Latino: Mexican,Hispanic|Latino: Puerto Rican,Hispanic|Latino: Cuban,total_population,incident_year,Two races,gas_leaks,gas_leaks_per_person
561,36047032500,3103.0,34256.0,395.0,703.0,0.0,695.0,2790.0,40.0,86.0,0.0,216.0,113.0,0.0,248.0,102.0,814.0,146.0,39362.0,12093,210.0,36,0.0009145876733905798
562,36047032600,11293.0,16386.0,255.0,5704.0,15.0,6250.0,14160.0,2.0,5701.0,1.0,0.0,0.0,0.0,0.0,2484.0,9003.0,32.0,41659.0,12093,1756.0,207,0.004968914280227562
563,36047032700,1495.0,5349.0,140.0,55.0,0.0,469.0,1174.0,12.0,43.0,0.0,0.0,0.0,0.0,0.0,227.0,229.0,0.0,7570.0,6048,62.0,6,0.0007926023778071334
564,36047032800,2578.0,5926.0,265.0,5637.0,19.0,844.0,2295.0,51.0,4958.0,41.0,0.0,0.0,379.0,208.0,485.0,1527.0,0.0,15310.0,12093,41.0,59,0.003853690398432397
565,36047032900,12200.0,19658.0,0.0,246.0,258.0,2397.0,3901.0,0.0,0.0,50.0,0.0,0.0,23.0,173.0,0.0,1574.0,38.0,35034.0,12093,275.0,93,0.0026545641376948107
566,36047033000,8316.0,14101.0,212.0,1530.0,0.0,2915.0,7327.0,0.0,1263.0,37.0,0.0,0.0,0.0,230.0,0.0,4900.0,96.0,27454.0,12093,380.0,104,0.003788154731550958
567,36047033100,15438.0,8795.0,11.0,0.0,0.0,676.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,614.0,94.0,25032.0,12093,112.0,43,0.0017178012144455097
568,36047033300,18984.0,7931.0,24.0,0.0,0.0,473.0,1067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,39.0,27857.0,12093,445.0,28,0.0010051333596582546
569,36047033500,12110.0,4977.0,0.0,546.0,0.0,383.0,1463.0,125.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,0.0,18050.0,12093,34.0,47,0.0026038781163434904
570,36047033600,20534.0,1671.0,6.0,1345.0,0.0,141.0,2519.0,452.0,483.0,70.0,41.0,38.0,0.0,261.0,38.0,2009.0,168.0,24488.0,12093,791.0,28,0.0011434171839268213
571,36047033700,10013.0,11593.0,113.0,426.0,0.0,456.0,2465.0,0.0,94.0,0.0,0.0,98.0,80.0,154.0,238.0,204.0,249.0,23323.0,12093,722.0,59,0.0025296917206191314
572,36047033900,5068.0,19515.0,0.0,1038.0,0.0,905.0,1935.0,0.0,545.0,35.0,130.0,42.0,0.0,286.0,451.0,629.0,4.0,27018.0,12093,492.0,23,0.0008512843289658746
573,36047034000,6078.0,5127.0,0.0,690.0,0.0,1189.0,2921.0,184.0,406.0,0.0,0.0,0.0,0.0,100.0,12.0,1802.0,76.0,13289.0,12093,205.0,57,0.004289261795469937
574,36047034100,2034.0,12767.0,0.0,46.0,0.0,1024.0,1345.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,89.0,16209.0,12093,338.0,83,0.005120612005675859
575,36047034200,13193.0,13933.0,13.0,1539.0,81.0,5865.0,8793.0,0.0,905.0,0.0,0.0,102.0,0.0,532.0,0.0,5884.0,31.0,35220.0,12093,596.0,233,0.006615559341283362
576,36047034300,2128.0,21507.0,264.0,1101.0,0.0,5149.0,7377.0,142.0,742.0,56.0,96.0,35.0,30.0,0.0,125.0,3539.0,0.0,30518.0,12093,369.0,134,0.004390851300871617
577,36047034500,1043.0,14178.0,0.0,160.0,0.0,1346.0,1580.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,334.0,234.0,40.0,17129.0,12093,402.0,156,0.00910736178410882
578,36047034700,448.0,17810.0,0.0,193.0,0.0,1532.0,2741.0,22.0,65.0,0.0,106.0,0.0,0.0,0.0,99.0,1270.0,31.0,20051.0,12093,68.0,100,0.004987282429804
579,36047034800,7376.0,596.0,155.0,2489.0,0.0,3732.0,6596.0,97.0,1306.0,0.0,9.0,0.0,25.0,1052.0,4562.0,1569.0,23.0,14395.0,12093,47.0,40,0.0027787426189649182
580,36047034900,2565.0,28286.0,52.0,643.0,0.0,2571.0,3813.0,301.0,278.0,20.0,0.0,44.0,0.0,0.0,0.0,1477.0,42.0,34420.0,12093,303.0,276,0.008018593840790239
581,36047035000,16528.0,45.0,0.0,249.0,0.0,43.0,167.0,0.0,209.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,17006.0,12093,141.0,18,0.001058449958838057
582,36047035100,4270.0,16958.0,64.0,493.0,0.0,2897.0,4328.0,47.0,379.0,67.0,0.0,0.0,0.0,0.0,46.0,1344.0,56.0,26157.0,12093,1475.0,71,0.0027143785602324424
583,36047035200,4068.0,1470.0,30.0,97.0,0.0,616.0,1057.0,15.0,59.0,0.0,0.0,23.0,0.0,0.0,94.0,574.0,0.0,6306.0,12093,25.0,118,0.01871233745639074
584,36047035300,6382.0,20101.0,0.0,619.0,0.0,2222.0,3479.0,218.0,133.0,49.0,0.0,105.0,0.0,114.0,97.0,977.0,0.0,29762.0,12093,438.0,90,0.0030239903232309657
585,36047035400,31655.0,242.0,0.0,0.0,0.0,0.0,1336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,1153.0,52.0,31942.0,12093,45.0,24,0.0007513618433410557
586,36047035500,4871.0,24635.0,0.0,0.0,0.0,1891.0,3495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649.0,85.0,31669.0,12093,272.0,80,0.002526129653604471
587,36047035601,15611.0,508.0,0.0,0.0,21.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,16190.0,12093,50.0,15,0.0009264978381717109
588,36047035602,24169.0,148.0,0.0,451.0,0.0,2.0,563.0,127.0,13.0,0.0,0.0,298.0,0.0,13.0,2.0,264.0,0.0,24770.0,10080,0.0,10,0.0004037141703673799
589,36047035700,510.0,12160.0,250.0,34.0,0.0,1640.0,2674.0,0.0,13.0,12.0,0.0,9.0,0.0,0.0,328.0,1264.0,30.0,14701.0,12093,107.0,24,0.0016325420039453099
590,36047035900,507.0,29064.0,16.0,328.0,0.0,1345.0,3426.0,45.0,100.0,0.0,68.0,0.0,0.0,115.0,0.0,669.0,252.0,31318.0,12093,58.0,111,0.0035442876301168655
591,36047036001,17214.0,175.0,62.0,22.0,0.0,44.0,344.0,0.0,0.0,0.0,0.0,7.0,0.0,15.0,0.0,212.0,42.0,17853.0,12093,336.0,24,0.0013443118803562427
592,36047036002,17148.0,99.0,0.0,713.0,0.0,1054.0,1353.0,0.0,32.0,502.0,0.0,0.0,0.0,179.0,1262.0,38.0,26.0,19625.0,10077,611.0,23,0.0011719745222929937
593,36047036100,604.0,12316.0,0.0,250.0,26.0,1993.0,3080.0,0.0,172.0,0.0,0.0,0.0,0.0,78.0,57.0,1061.0,52.0,15303.0,12093,114.0,75,0.004900999803960008
594,36047036200,12483.0,326.0,480.0,4328.0,0.0,2196.0,7342.0,166.0,819.0,693.0,0.0,84.0,0.0,2566.0,4625.0,1128.0,5.0,20057.0,12093,244.0,18,0.0008974422894749963
595,36047036300,1041.0,20915.0,277.0,32.0,0.0,2378.0,4146.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2512.0,26.0,24988.0,12093,345.0,181,0.00724347686889707
596,36047036400,8475.0,309.0,21.0,3646.0,0.0,917.0,1597.0,323.0,860.0,576.0,0.0,254.0,32.0,1601.0,1232.0,257.0,3.0,13567.0,12093,199.0,81,0.005970369278396108
597,36047036501,468.0,15259.0,0.0,99.0,0.0,928.0,1612.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,48.0,595.0,0.0,16754.0,12093,0.0,45,0.0026859257490748478
598,36047036502,506.0,4270.0,0.0,34.0,0.0,1266.0,1896.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1212.0,0.0,6092.0,10079,16.0,9,0.0014773473407747866
599,36047036600,15600.0,1006.0,0.0,7516.0,0.0,2898.0,6501.0,1631.0,626.0,1448.0,0.0,0.0,0.0,3811.0,3728.0,566.0,18.0,27814.0,12093,794.0,16,0.0005752498741640901
600,36047036700,753.0,4702.0,0.0,332.0,0.0,1848.0,2669.0,96.0,69.0,108.0,0.0,0.0,0.0,59.0,145.0,1598.0,123.0,7730.0,12093,95.0,23,0.0029754204398447608
601,36047036900,2857.0,21989.0,0.0,212.0,0.0,5705.0,8374.0,12.0,196.0,4.0,0.0,0.0,0.0,0.0,1523.0,3988.0,0.0,30960.0,12093,197.0,99,0.003197674418604651
602,36047037000,14174.0,29.0,95.0,6454.0,0.0,220.0,1118.0,3052.0,2555.0,40.0,0.0,55.0,346.0,406.0,141.0,221.0,31.0,20988.0,10078,16.0,16,0.0007623403849818944
603,36047037100,952.0,23445.0,22.0,561.0,0.0,1790.0,4107.0,103.0,246.0,212.0,0.0,0.0,0.0,0.0,181.0,1055.0,141.0,26941.0,12093,171.0,74,0.002746742882595301
604,36047037300,3305.0,16510.0,123.0,343.0,0.0,3511.0,5863.0,97.0,232.0,14.0,0.0,0.0,0.0,0.0,255.0,3254.0,61.0,23998.0,12093,206.0,41,0.0017084757063088592
605,36047037401,21065.0,779.0,560.0,2080.0,0.0,406.0,1040.0,500.0,376.0,32.0,0.0,0.0,0.0,1172.0,16.0,189.0,9.0,25525.0,12093,635.0,38,0.0014887365328109697
